,time,open,high,low,close,volume,end_time,quote_volume,nbs_trades,buy_base_volume,buy_quote_volume,date
0,1645506900000,13.17000000,13.31000000,13.12000000,13.31000000,35793.59000000,1645507799999,473020.56510000,946,19996.92000000,264207.81480000,2022-02-22 05:15:00
1,1645507800000,13.30000000,13.43000000,13.29000000,13.40000000,69348.47000000,1645508699999,925955.20370000,1605,34026.63000000,454305.88110000,2022-02-22 05:30:00
2,1645508700000,13.40000000,13.55000000,13.24000000,13.27000000,99678.36000000,1645509599999,1337411.01800000,2424,42042.39000000,564317.64240000,2022-02-22 05:45:00
3,1645509600000,13.27000000,13.41000000,13.23000000,13.40000000,46542.54000000,1645510499999,619734.03550000,1080,26313.17000000,350370.92880000,2022-02-22 06:00:00
4,1645510500000,13.41000000,13.43000000,13.30000000,13.34000000,51061.04000000,1645511399999,682787.73980000,1093,22599.12000000,302241.17930000,2022-02-22 06:15:00
5,1645511400000,13.34000000,13.50000000,13.31000000,13.38000000,74955.79000000,1645512299999,1005684.22750000,1452,32634.00000000,438180.88460000,2022-02-22 06:30:00
6,1645512300000,13.37000000,13.45000000,13.36000000,13.44000000,57731.54000000,1645513199999,774150.10190000,1181,33628.39000000,450901.07410000,2022-02-22 06:45:00
7,1645513200000,13.43000000,13.47000000,13.36000000,13.36000000,63475.45000000,1645514099999,852151.42800000,1082,31288.09000000,420090.71420000,2022-02-22 07:00:00
8,1645514100000,13.35000000,13.37000000,13.24000000,13.32000000,78250.17000000,1645514999999,1041016.67680000,1485,42218.81000000,561545.31610000,2022-02-22 07:15:00
9,1645515000000,13.32000000,13.38000000,13.30000000,13.34000000,41118.08000000,1645515899999,548518.27040000,827,19277.36000000,257195.75760000,2022-02-22 07:30:00
10,1645515900000,13.35000000,13.42000000,13.29000000,13.29000000,38355.77000000,1645516799999,512802.66930000,909,20972.25000000,280552.18440000,2022-02-22 07:45:00
11,1645516800000,13.30000000,13.44000000,13.29000000,13.40000000,35551.74000000,1645517699999,474455.40290000,810,22624.61000000,301839.79420000,2022-02-22 08:00:00
12,1645517700000,13.39000000,13.47000000,13.36000000,13.45000000,33781.07000000,1645518599999,452753.46950000,833,14399.28000000,193041.09610000,2022-02-22 08:15:00
13,1645518600000,13.44000000,13.50000000,13.38000000,13.47000000,54575.80000000,1645519499999,733787.68590000,1065,30066.60000000,404350.92920000,2022-02-22 08:30:00
14,1645519500000,13.45000000,13.56000000,13.39000000,13.53000000,40228.44000000,1645520399999,542479.95390000,1212,18280.57000000,246566.16780000,2022-02-22 08:45:00
15,1645520400000,13.53000000,13.55000000,13.44000000,13.53000000,35228.74000000,1645521299999,475195.47180000,776,19350.45000000,261077.32150000,2022-02-22 09:00:00
16,1645521300000,13.54000000,13.54000000,13.45000000,13.47000000,20126.61000000,1645522199999,271476.07700000,561,8302.57000000,111994.37250000,2022-02-22 09:15:00
17,1645522200000,13.48000000,13.58000000,13.48000000,13.53000000,45741.37000000,1645523099999,619243.11320000,1036,27212.26000000,368302.83880000,2022-02-22 09:30:00
18,1645523100000,13.53000000,13.56000000,13.47000000,13.48000000,39589.15000000,1645523999999,535090.83870000,693,15947.02000000,215767.03660000,2022-02-22 09:45:00
